time,sdc
206147,135
206159,135
206172,135
206185,135
206197,135
206210,135
206222,136
206234,135
206246,135
206260,135
206272,136
206284,135
206297,135
206309,135
206322,135
206334,135
206347,135
206359,135
206371,135
206385,136
206397,135
206409,135
206422,135
206434,137
206446,160
206459,294
206472,331
206484,346
206496,154
206509,138
206522,136
206534,136
206546,135
206559,135
206571,135
206584,136
206597,135
206609,136
206621,135
206633,135
206646,136
206659,135
206671,135
206684,136
206696,135
206708,135
206722,135
206734,135
206746,135
206758,135
206771,135
206784,136
206796,135
206809,136
206821,135
206833,135
206845,135
206859,135
206871,135
206883,135
206896,135
206908,136
206921,135
206934,135
206946,135
206958,136
206970,135
206984,251
206996,317
207008,340
207021,331
207033,142
207045,137
207058,136
207071,136
207083,135
207095,136
207108,135
207121,136
207133,135
207145,135
207158,135
207170,135
207183,135
207196,135
207208,135
207220,135
207233,136
207245,135
207258,135
207270,135
207283,135
207295,135
207307,135
207321,135
207333,135
207345,136
207357,135
207370,135
207383,135
207395,135
207408,135
207420,135
207432,135
207444,135
207458,135
207470,135
207482,135
207495,135
207507,135
207520,135
207533,135
207545,136
207557,274
207569,325
207583,344
207595,247
207607,140
207620,137
207632,136
207644,135
207657,136
207670,135
207682,135
207694,135
207707,135
207720,135
207732,135
207745,136
207757,135
207769,136
207782,135
207795,136
207807,135
207819,136
207832,136
207844,136
207857,135
207869,135
207882,136
207894,135
207906,135
207920,135
207932,135
207944,135
207956,136
207969,135
207982,136
207994,135
208007,135
208019,135
208031,135
208044,135
208057,135
208069,135
208081,207
208094,307
208106,336
208119,349
208132,149
208144,139
208156,135
208168,136
208182,135
208194,135
208206,135
208219,136
208231,136
208243,136
208257,135
208269,135
208281,135
208293,135
208306,136
208319,136
208331,135
208344,135
208356,136
208368,135
208381,135
208394,136
208406,136
208418,136
208431,136
208443,136
208456,136
208468,135
208481,136
208493,135
208505,135
208519,137
208531,135
208543,136
208556,135
208568,136
208581,135
208593,136
208606,135
208618,136
208630,135
208643,135
208656,242
208668,316
208680,341
208693,349
208705,144
208718,138
208731,137
208743,135
208755,136
208768,136
208781,136
208793,135
208805,136
208818,136
208830,136
208842,136
208856,135
208868,136
208880,135
208892,137
208905,135
208918,135
208930,136
208943,136
208955,136
208967,136
208980,136
208993,136
209005,136
209017,135
209030,136
209042,136
209055,136
209068,136
209080,136
209092,135
209104,136
209118,135
209130,135
209142,136
209155,136
209167,135
209180,151
209192,290
209205,332
209217,347
209229,172
209242,139
209255,137
209267,137
209280,135
209292,136
209304,136
209317,136
209330,137
209342,136
209354,136
209367,135
209380,136
209392,136
209404,136
209417,135
209429,136
209441,135
209455,136
209467,135
209479,136
209491,136
209504,136
209517,135
209529,135
209542,136
209554,135
209566,136
209580,136
209592,136
209604,135
209616,136
209629,136
209641,137
209654,135
209667,135
209679,135
209691,136
209703,136
209717,136
209729,135
209741,135
209754,187
209766,302
209779,336
209792,350
209804,153
209816,139
209828,137
209841,136
209854,136
209866,136
209879,135
209891,135
209903,136
209916,136
209929,135
209941,136
209953,136
209966,136
209979,136
209991,136
210003,135
210016,137
210028,135
210040,136
210054,135
210066,135
210078,135
210091,135
210103,135
210116,135
210128,136
210141,135
210153,135
210165,135
210179,136
210191,136
210203,136
210215,135
210228,137
210240,135
210253,136
210266,136
210278,133
210290,268
210302,324
210316,344
210328,300
210340,142
210353,137
210365,136
210378,136
210391,137
210403,135
210415,136
210427,136
210440,136
210453,136
210465,135
210478,136
210490,135
210502,135
210515,135
210528,135
210540,135
210552,135
210565,135
210578,135
210590,136
210603,135
210615,135
210627,135
210639,136
210653,135
210665,135
210677,136
210690,135
210702,136
210715,135
210727,136
210740,136
210752,136
210764,137
210778,136
210790,136
210802,136
210814,136
210827,136
210839,135
210852,139
210865,281
210877,329
210889,346
210902,230
210915,140
210927,137
210939,136
210952,136
210964,136
210977,136
210990,135
211002,136
211014,135
211026,136
211039,136
211052,136
211064,135
211077,135
211089,136
211101,136
211115,135
211127,136
211139,137
211151,135
211164,135
211177,136
211189,136
211202,136
211214,135
211226,136
211238,136
211252,136
211264,136
211276,135
211289,136
211301,136
211314,136
211326,136
211339,136
211351,135
211363,135
211377,135
211389,233
211401,313
211414,341
211426,351
211438,148
211451,138
211464,137
211476,136
211488,136
211501,136
211514,136
211526,135
211538,136
211551,136
211563,136
211576,136
211589,136
211601,136
211613,136
211625,135
211638,135
211651,135
211663,135
211676,136
211688,136
211700,136
211714,136
211726,136
211738,135
211750,136
211763,136
211776,136
211788,136
211801,135
211813,137
211825,136
211837,136
211851,136
211863,136
211875,136
211888,137
211900,135
211913,136
211926,136
211938,136
211950,136
211962,255
211976,321
211988,344
212000,349
212013,144
212025,138
212037,137
212050,136
212063,136
212075,136
212087,136
212100,136
212113,136
212125,136
212137,136
212150,136
212162,136
212175,136
212188,136
212200,136
212212,136
212225,136
212237,136
212250,136
212262,138
212275,136
212287,136
212299,136
212313,137
212325,137
212337,137
212349,137
212362,137
212375,137
212387,136
212400,137
212412,137
212424,137
212436,137
212450,137
212462,137
212474,137
212487,182
212499,307
212512,346
212525,361
212537,165
212549,141
212561,138
212575,138
212587,137
212599,137
212612,137
212624,137
212636,138
212649,136
212662,137
212674,137
212686,137
212699,136
212712,137
212724,137
212737,137
212749,137
212761,137
212774,137
212787,137
212799,137
212811,137
212824,137
212836,137
212849,137
212861,136
212874,137
212886,137
212898,137
212912,137
212924,137
212936,137
212948,137
212961,137
212974,137
212986,137
212999,137
213011,138
213023,136
213036,136
213049,136
213061,214
213073,315
213086,346
213098,360
213111,152
213124,140
213136,137
213148,137
213160,137
213174,137
213186,137
213198,137
213211,137
213223,137
213235,136
213249,137
213261,136
213273,137
213285,137
213298,137
213311,136
213323,136
213336,136
213348,136
213360,136
213373,137
213386,138
213398,136
213410,136
213423,136
213435,137
213448,136
213460,137
213473,136
213485,136
213497,136
